NAME,OUTLET TYPE,PHONE NUMBER,STREET ADDRESS,PAYMENTS ACCEPTED,FARE MEDIA AVAILABLE,LAT,LON,CITY,Location
#10 Check Agencies,Ventra Retail Location,,6321 South King Drive,Varies,Varies,41.7796,-87.615267,Chicago ,"6321 King Drive
Chicago 60637
(41.779580173000454, -87.61562095399967)"
1 Jackpot Mini Mart,Ventra Retail Location,,535 W. 111th Street,Varies,Varies,41.6924088,-87.6366018,Chicago,"535 111th Street
Chicago 60628
(41.69240213100045, -87.63650185899968)"
10 Check Currency,Currency Exchange,773-493-2769,6321 S. King Drive,Varies,Purchase Transit Cards and Passes.,41.7795,-87.615608,Chicago,"6321 King Drive
Chicago, IL 60637
(41.779580173000454, -87.61562095399967)"
103rd & Halsted Currency,Currency Exchange,773-233-6068,801 W. 103rd Street,Varies,Purchase Transit Cards and Passes.,41.706917,-87.642894,Chicago,"801 103rd Street
Chicago, IL 60628
(41.7074594230005, -87.60387686299964)"
103rd & Michigan Currency,Currency Exchange,773-928-1850,10251 S. Michigan Avenue,Varies,Purchase Transit Cards and Passes.,41.707496,-87.620166,Chicago,"10251 Michigan Avenue
Chicago, IL 60628
(41.70753026000045, -87.62015057599967)"
103rd & Western C E,Ventra Retail Location,,10257 South Western Ave,Varies,Varies,41.7068154,-87.6430502,Chicago,"10257 Western Ave
Chicago 60643
(41.70664159500046, -87.68159527099965)"
110th & Halsted C E,Ventra Retail Location,,11057 South Halsted,Varies,Varies,41.692498,-87.642,Chicago ,"11057 Halsted
Chicago 60628
(41.69259085400046, -87.62300715199967)"
110th & Halsted Currency,Currency Exchange,773-785-7404,11057 S. Halsted Street,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.692504,-87.642382,Chicago,"11057 Halsted Street
Chicago, IL 60628
(41.692490671000485, -87.64232048899964)"
111th & Michigan Currency,Currency Exchange,773-264-2433,11055 S. Michigan Avenue,Varies,Purchase Transit Cards and Passes.,41.692788,-87.62105,Chicago,"11055 Michigan Avenue
Chicago, IL 60628
(41.69284096400048, -87.62103091999967)"
"111th & Michigan Currency Exchange, Inc.",Ventra Retail Location,,11055 S Michigan,Varies,Varies,41.692984,-87.620548,Chicago,"11055 Michigan
Chicago 60628
(41.69259085400046, -87.62300715199967)"
